number of batches: 783
sum of samples trained 195750
loss after epoch 1 = 0.249979: 
train accuracy after epoch 1 = 0.066056: 
-----------------------------------

sum of samples trained 195750
loss after epoch 2 = 0.105323: 
train accuracy after epoch 2 = 0.170279: 
-----------------------------------

sum of samples trained 195750
loss after epoch 3 = 0.085727: 
train accuracy after epoch 3 = 0.352325: 
-----------------------------------

sum of samples trained 195750
loss after epoch 4 = 0.065523: 
train accuracy after epoch 4 = 0.537133: 
-----------------------------------

sum of samples trained 195750
loss after epoch 5 = 0.053180: 
train accuracy after epoch 5 = 0.646748: 
-----------------------------------

sum of samples trained 195750
loss after epoch 6 = 0.042576: 
train accuracy after epoch 6 = 0.735033: 
-----------------------------------

sum of samples trained 195750
loss after epoch 7 = 0.033960: 
train accuracy after epoch 7 = 0.803227: 
-----------------------------------

sum of samples trained 195750
loss after epoch 8 = 0.026785: 
train accuracy after epoch 8 = 0.855321: 
-----------------------------------

sum of samples trained 195750
loss after epoch 9 = 0.021457: 
train accuracy after epoch 9 = 0.891359: 
-----------------------------------

sum of samples trained 195750
loss after epoch 10 = 0.017142: 
train accuracy after epoch 10 = 0.918208: 
-----------------------------------

sum of samples trained 195750
loss after epoch 11 = 0.013773: 
train accuracy after epoch 11 = 0.937787: 
-----------------------------------

sum of samples trained 195750
loss after epoch 12 = 0.011233: 
train accuracy after epoch 12 = 0.951653: 
-----------------------------------

sum of samples trained 195750
loss after epoch 13 = 0.009322: 
train accuracy after epoch 13 = 0.961984: 
-----------------------------------

sum of samples trained 195750
loss after epoch 14 = 0.007823: 
train accuracy after epoch 14 = 0.969257: 
-----------------------------------

sum of samples trained 195750
loss after epoch 15 = 0.006598: 
train accuracy after epoch 15 = 0.974971: 
-----------------------------------

done training
True   | Predicted
yygnc  |nxgnc     
yyayf  |ryayf     
ywgeg  |ewgeg     
ywnfc  |wwnfc     
yxyf8  |nxyf8     
yx8fk  |nx8fk     
yx6m3  |nx6m3     
yxwrn  |xxwrn     
yxcn5  |axcn5     
yymp8  |emmp8     
yy428  |gy428     
yxhwb  |dhhwb     
yy8eb  |ex8eb     
ywxcc  |nwxcc     
yxda2  |axda2     
yyrrd  |axrrd     
yxp24  |a4p24     
yybk7  |n4bk7     
yydpg  |wydpg     
yy7db  |dx7db     
yywdw  |eywdw     
yx4na  |nx4na     
yxpdw  |expdw     
yxen2  |dxen2     
yy2eh  |n42eh     
yx4k5  |nx4k5     
ywbb8  |wwbb8     
yxbdp  |exbdp     
yx23m  |nx23m     
ywrgh  |rwrgh     
ywh6a  |6wh6a     
yx4r3  |cx4r3     
yx2gp  |e42gp     
yxc7x  |exc7x     
yykdh  |rykdh     
ywen7  |nwen7     
yykc2  |x4kc2     
yyc8g  |gyc8g     
ywwr7  |nxwx7     
yxpng  |expng     
yy7cc  |rx7cc     
yxbhe  |nxbhe     
yyrk4  |n4rk4     
ywe24  |rwe24     
yyfgy  |nyfgy     
yxwgd  |nxwgd     
yxama  |nxama     
yybam  |exbam     
yykpp  |pykpp     
yx7gf  |ex7gf     
yyb44  |e4b44     
ywf32  |cwf32     
yy2g5  |gy2g5     
yyg72  |n4g72     
yxc72  |nxc72     
yyrmk  |n4rmk     
yxwag  |nxwag     
yynhm  |cynhm     
yye8a  |e4e8a     
yy52d  |n452d     
yxf37  |gxf37     
yxk33  |wdk33     
yy6fk  |k46fk     
yyd6h  |e4d6h     
yxr2c  |nxr2c     
yxp5n  |efp5n     
yxxpc  |pxxpc     
yxfe7  |cxfe7     
yybf6  |eybf6     
