number of batches: 199
sum of samples trained 49750
loss after epoch 1 = 0.753768: 
train accuracy after epoch 1 = 0.042846: 
-----------------------------------

sum of samples trained 49750
loss after epoch 2 = 0.116432: 
train accuracy after epoch 2 = 0.043827: 
-----------------------------------

sum of samples trained 49750
loss after epoch 3 = 0.115959: 
train accuracy after epoch 3 = 0.042842: 
-----------------------------------

sum of samples trained 49750
loss after epoch 4 = 0.115747: 
train accuracy after epoch 4 = 0.043554: 
-----------------------------------

sum of samples trained 49750
loss after epoch 5 = 0.115563: 
train accuracy after epoch 5 = 0.044052: 
-----------------------------------

sum of samples trained 49750
loss after epoch 6 = 0.115442: 
train accuracy after epoch 6 = 0.042874: 
-----------------------------------

sum of samples trained 49750
loss after epoch 7 = 0.115331: 
train accuracy after epoch 7 = 0.043204: 
-----------------------------------

sum of samples trained 49750
loss after epoch 8 = 0.115208: 
train accuracy after epoch 8 = 0.042770: 
-----------------------------------

sum of samples trained 49750
loss after epoch 9 = 0.115078: 
train accuracy after epoch 9 = 0.043839: 
-----------------------------------

sum of samples trained 49750
loss after epoch 10 = 0.114947: 
train accuracy after epoch 10 = 0.043506: 
-----------------------------------

done training
True   | Predicted
bhx6m  |eaae7     
2y2bh  |eaae7     
3kxxx  |eaae7     
gw8me  |eaae7     
c3yy7  |eaae7     
aerpn  |eaae7     
4rg22  |eaae7     
aha4b  |eaae7     
434r4  |eaae7     
dxn4p  |eaae7     
kee5f  |eaae7     
6hepb  |eaae7     
bykfm  |eaae7     
pmkke  |eaae7     
6cxm3  |eaae7     
58h2b  |eaae7     
b7rdd  |eaae7     
hpman  |eaae7     
7k735  |eaae7     
w56p8  |eaae7     
c4a3y  |eaae7     
a825c  |eaae7     
a3hdm  |eaae7     
f86df  |eaae7     
yfp38  |eaae7     
gw3en  |eaae7     
ffakx  |eaae7     
xykb5  |eaae7     
nne45  |eaae7     
fmpan  |eaae7     
34myw  |eaae7     
6an8c  |eaae7     
hmrw5  |eaae7     
xeyb7  |eaae7     
a6b37  |eaae7     
mb27g  |eaae7     
f42px  |eaae7     
f6a6n  |eaae7     
y35an  |eaae7     
bnwpd  |eaae7     
8rerk  |eaae7     
drexn  |eaae7     
kyayr  |eaae7     
hghxw  |eaae7     
hd4nb  |eaae7     
6n7hf  |eaae7     
x6e5e  |eaae7     
7mmmc  |eaae7     
733h7  |eaae7     
xf2g6  |eaae7     
cx8ne  |eaae7     
gcd6h  |eaae7     
fkhya  |eaae7     
eg58h  |eaae7     
2neme  |eaae7     
fw75g  |eaae7     
b44f2  |eaae7     
mbh5e  |eaae7     
ghwb6  |eaae7     
arr7h  |eaae7     
3464y  |eaae7     
m3y7a  |eaae7     
7g44w  |eaae7     
y36a8  |eaae7     
hck2p  |eaae7     
y4hyc  |eaae7     
46x56  |eaae7     
yg5rx  |eaae7     
mx234  |eaae7     
kcege  |eaae7     
bh2dg  |eaae7     
577m5  |eaae7     
pee8h  |eaae7     
6c6hw  |eaae7     
66xk7  |eaae7     
aan5m  |eaae7     
a7exd  |eaae7     
bce8n  |eaae7     
dg25g  |eaae7     
5fcrm  |eaae7     
8f5ch  |eaae7     
e7xem  |eaae7     
r2kgd  |eaae7     
fy24w  |eaae7     
bchh8  |eaae7     
hd2ww  |eaae7     
4wxmf  |eaae7     
27e2c  |eaae7     
n4y3e  |eaae7     
mac54  |eaae7     
xdyx7  |eaae7     
3e366  |eaae7     
h8ngr  |eaae7     
pbhge  |eaae7     
fdbfg  |eaae7     
ybpdc  |eaae7     
m5x5h  |eaae7     
63cd8  |eaae7     
gmfer  |eaae7     
prxp6  |eaae7     
38d7x  |eaae7     
3x46h  |eaae7     
r5rn7  |eaae7     
8xc27  |eaae7     
db4ab  |eaae7     
cwnf4  |eaae7     
rxmfd  |eaae7     
5ygx7  |eaae7     
8e3cb  |eaae7     
w54yf  |eaae7     
fwxm6  |eaae7     
r485x  |eaae7     
a7fa4  |eaae7     
7k2x8  |eaae7     
bg5mm  |eaae7     
bx88d  |eaae7     
4y5y4  |eaae7     
xp7cg  |eaae7     
pdr5n  |eaae7     
yr5yp  |eaae7     
8bpwn  |eaae7     
b5k5p  |eaae7     
dyxf5  |eaae7     
4rdr4  |eaae7     
5223e  |eaae7     
3myhp  |eaae7     
gr64a  |eaae7     
fh8gn  |eaae7     
4m6hp  |eaae7     
kchaw  |eaae7     
8y5hm  |eaae7     
5gca2  |eaae7     
b8k73  |eaae7     
xm28n  |eaae7     
5c864  |eaae7     
gmkcr  |eaae7     
xdweh  |eaae7     
nd4ga  |eaae7     
bhed6  |eaae7     
6ybf2  |eaae7     
r832e  |eaae7     
747yb  |eaae7     
amya3  |eaae7     
6r7er  |eaae7     
dwk8n  |eaae7     
384ma  |eaae7     
5hm6p  |eaae7     
f77fx  |eaae7     
y488h  |eaae7     
kd8ar  |eaae7     
x7wwn  |eaae7     
hxmw8  |eaae7     
a4k83  |eaae7     
kh5hy  |eaae7     
7y7wa  |eaae7     
6f8ra  |eaae7     
n8dr6  |eaae7     
p2ywy  |eaae7     
xyhre  |eaae7     
eh35e  |eaae7     
gdfgw  |eaae7     
48meh  |eaae7     
gd58p  |eaae7     
